"Date","Price","Open","High","Low","Vol.","Change %"
"04/15/2024","3.260","3.690","3.690","3.160","4.02M","-9.44%"
"04/12/2024","3.600","4.010","4.010","3.590","3.19M","-10.67%"
"04/11/2024","4.030","3.950","4.170","3.850","2.22M","2.03%"
"04/10/2024","3.950","4.030","4.050","3.910","1.79M","-3.66%"
"04/09/2024","4.100","4.230","4.245","4.070","1.31M","-1.91%"
"04/08/2024","4.180","4.150","4.240","4.080","1.45M","0.48%"
"04/05/2024","4.160","4.360","4.360","3.960","3.05M","-4.59%"
"04/04/2024","4.360","4.500","4.540","4.360","1.41M","-1.80%"
"04/03/2024","4.440","4.800","4.810","4.340","3.70M","-8.26%"
"04/02/2024","4.840","4.800","4.845","4.717","682.12K","0.21%"
"04/01/2024","4.830","5.000","5.030","4.755","1.52M","-2.82%"
"03/28/2024","4.970","4.710","5.050","4.680","2.27M","5.07%"
"03/27/2024","4.730","4.750","4.750","4.600","1.43M","0.64%"
"03/26/2024","4.700","4.860","4.900","4.660","1.30M","-2.69%"
"03/25/2024","4.830","4.960","5.105","4.820","1.22M","-2.62%"
"03/22/2024","4.960","4.940","4.980","4.860","950.34K","-0.60%"
"03/21/2024","4.990","4.950","5.010","4.800","1.21M","2.46%"
"03/20/2024","4.870","4.780","4.885","4.680","1.21M","2.96%"
"03/19/2024","4.730","4.920","4.920","4.640","2.13M","-4.06%"
"03/18/2024","4.930","5.090","5.090","4.770","1.90M","-1.79%"
"03/15/2024","5.020","4.870","5.100","4.840","1.84M","2.66%"
"03/14/2024","4.890","4.950","4.960","4.810","2.04M","-1.81%"
"03/13/2024","4.980","5.090","5.090","4.920","1.67M","-1.58%"
"03/12/2024","5.060","5.220","5.240","5.030","1.59M","-2.88%"
"03/11/2024","5.210","5.250","5.370","5.180","1.29M","-0.76%"
"03/08/2024","5.250","5.330","5.450","5.240","1.15M","-0.57%"
"03/07/2024","5.280","5.190","5.285","5.130","1.47M","1.54%"
